date,dinflation,dRepo,spread,nifty_ret,cpi_yoy_pct,repo,y10,y1,y5,m3,Price
01-02-2000,-0.2426,0,0.703,0.079426006,5.2116,8,10.405,9.702,10.37,,1654.8
01-03-2000,-0.2399,0,0.483,0.083114252,4.9717,8,10.756,10.273,9.987,,1528.45
01-04-2000,-0.2373,0,1.275,0.018730365,4.7344,8,10.364,9.089,9.967,,1406.55
01-05-2000,-0.2347,0,1.412,-0.063838776,4.4997,8,10.827,9.415,9.745,,1380.45
01-06-2000,-0.2321,0,1.406,0.098928802,4.2676,8,11.059,9.653,9.895,,1471.45
01-07-2000,-0.2296,1,1.155,-0.044929539,4.038,9,11.354,10.199,10.12,,1332.85
01-08-2000,0.0062,0,0.678,0.091933776,4.0442,9,11.505,10.827,10.977,,1394.1
01-09-2000,0.0061,0,0.884,0.080963852,4.0503,9,11.54,10.656,11.012,,1271.65
01-10-2000,0.0061,0,1.257,-0.078207727,4.0564,9,11.6,10.343,10.938,,1172.75
01-11-2000,0.0061,0,1.181,0.003633926,4.0625,9,11.348,10.167,10.77,,1268.15
01-12-2000,0.006,0,0.799,-0.082125627,4.0685,9,10.884,10.085,10.582,,1263.55
01-01-2001,0.006,0,0.796,0.014909754,4.0745,9,10.424,9.628,10.376,,1371.7
01-02-2001,0.0059,0,0.991,0.162945593,4.0804,9,10.078,9.087,9.89,,1351.4
01-03-2001,0.006,-0.5,1.303,0.020190266,4.0864,8.5,10.333,9.03,9.238,,1148.2
01-04-2001,0.0058,0,1.265,-0.037202031,4.0922,8.5,10.125,8.86,9.47,,1125.25
01-05-2001,0.0058,0,1.381,0.052740933,4.098,8.5,9.762,8.381,9.355,,1167.9
01-06-2001,0.0058,-0.5,1.533,0.032147673,4.1038,8,9.501,7.968,8.933,,1107.9
01-07-2001,0.0058,0,2.057,0.017963429,4.1096,8,9.363,7.306,8.399,,1072.85
01-08-2001,-0.014,-0.5,2.062,0.142444065,4.0956,7.5,9.114,7.052,7.997,,1053.75
01-09-2001,-0.014,0,1.82,-0.061586474,4.0816,7.5,9.122,7.302,7.528,,913.85
01-10-2001,-0.0138,0,1.967,-0.093493904,4.0678,7.5,8.8,6.833,7.704,,971.9
01-11-2001,-0.0137,-0.5,1.12,0.007619264,4.0541,7,7.88,6.76,7.28,,1067.15
