date,repo_rate_pct
01-01-1999,8
01-02-1999,8
01-03-1999,8
01-04-1999,8
01-05-1999,8
01-06-1999,8
01-07-1999,8
01-08-1999,8
01-09-1999,8
01-10-1999,8
01-11-1999,8
01-12-1999,8
01-01-2000,8
01-02-2000,8
01-03-2000,8
01-04-2000,8
01-05-2000,8
01-06-2000,8
01-07-2000,9
01-08-2000,9
01-09-2000,9
01-10-2000,9
01-11-2000,9
01-12-2000,9
01-01-2001,9
01-02-2001,9
01-03-2001,8.5
01-04-2001,8.5
01-05-2001,8.5
01-06-2001,8
01-07-2001,8
01-08-2001,7.5
01-09-2001,7.5
01-10-2001,7.5
01-11-2001,7
01-12-2001,7
01-01-2002,7
01-02-2002,6.75
01-03-2002,6.75
01-04-2002,6.5
01-05-2002,6.5
01-06-2002,6.5
01-07-2002,6.5
01-08-2002,6.5
01-09-2002,6.5
01-10-2002,6.5
01-11-2002,6.25
01-12-2002,6.25
01-01-2003,6.25
01-02-2003,6.25
01-03-2003,6.25
01-04-2003,5.75
01-05-2003,5.75
01-06-2003,5.75
01-07-2003,5
01-08-2003,5
01-09-2003,5
01-10-2003,5
01-11-2003,5
01-12-2003,5
01-01-2004,5
01-02-2004,5
01-03-2004,5
01-04-2004,5
01-05-2004,5
01-06-2004,5
01-07-2004,5.25
01-08-2004,5.25
01-09-2004,5.25
01-10-2004,5.25
01-11-2004,5.5
01-12-2004,5.5
01-01-2005,5.5
01-02-2005,5.5
01-03-2005,5.5
01-04-2005,5.5
01-05-2005,6
01-06-2005,6
01-07-2005,6
01-08-2005,6
01-09-2005,6
01-10-2005,6
01-11-2005,6.25
01-12-2005,6.25
01-01-2006,6.25
01-02-2006,6.5
01-03-2006,6.5
01-04-2006,6.5
01-05-2006,6.5
01-06-2006,6.5
01-07-2006,6.75
01-08-2006,6.75
01-09-2006,6.75
01-10-2006,6.75
01-11-2006,6.75
01-12-2006,6.75
01-01-2007,6.75
01-02-2007,7.25
01-03-2007,7.25
01-04-2007,7.75
01-05-2007,7.75
01-06-2007,7.75
01-07-2007,7.75
01-08-2007,7.75
01-09-2007,7.75
01-10-2007,7.75
01-11-2007,7.75
01-12-2007,7.75
01-01-2008,7.75
01-02-2008,7.75
01-03-2008,7.75
01-04-2008,7.75
01-05-2008,7.75
01-06-2008,7.75
01-07-2008,8.5
01-08-2008,9
01-09-2008,9
01-10-2008,9
01-11-2008,8
01-12-2008,7.5
01-01-2009,7.5
01-02-2009,5.5
01-03-2009,5
01-04-2009,5
